Y,D,Day,Total_order,Total_unit
2025,2025. 9. 1,월,39570,"91,384.00"
2025,2025. 9. 2,화,36126,"82,421.00"
2025,2025. 9. 3,수,32861,"76,806.00"
2025,2025. 9. 4,목,34399,"81,666.00"
2025,2025. 9. 5,금,35157,"81,282.00"
2025,2025. 9. 6,토,31454,"72,115.00"
2025,2025. 9. 7,일,38834,"89,282.00"
2025,2025. 9. 8,월,35972,"87,397.00"
2025,2025. 9. 9,화,35135,"86,011.00"
2025,2025. 9. 10,수,35658,"87,126.00"
2025,2025. 9. 11,목,34675,"83,766.00"
2025,2025. 9. 12,금,33578,"81,188.00"
2025,2025. 9. 13,토,30248,"72,774.00"
2025,2025. 9. 14,일,35799,"88,258.00"
2025,2025. 9. 15,월,36538,"85,569.00"
2025,2025. 9. 16,화,32779,"76,639.00"
2025,2025. 9. 17,수,37157,"87,669.00"
2025,2025. 9. 18,목,32508,"78,901.00"
2025,2025. 9. 19,금,33154,"78,669.00"
2025,2025. 9. 20,토,27856,"65,816.00"
2025,2025. 9. 21,일,34503,"81,858.00"
2025,2025. 9. 22,월,38148,"93,575.00"
2025,2025. 9. 23,화,36031,"90,081.00"
2025,2025. 9. 24,수,42046,"101,448.00"
2025,2025. 9. 25,목,41255,"108,757.00"
2025,2025. 9. 26,금,39597,"98,332.00"
2025,2025. 9. 27,토,33835,"82,288.00"
2025,2025. 9. 28,일,43059,"106,927.00"
2025,2025. 9. 29,월,41655,"109,920.00"
2025,2025. 9. 30,화,43829,"112,180.00"
2025,2025. 10. 1,수,44040,"120,361.00"
2025,2025. 10. 2,목,35557,"87,171.00"
2025,2025. 10. 3,금,31968,"77,351.00"
2025,2025. 10. 4,토,25994,"62,871.00"
2025,2025. 10. 5,일,21935,"51,170.00"
2025,2025. 10. 6,월,0,0
2025,2025. 10. 7,화,34595,"79,635.00"
2025,2025. 10. 8,수,30785,"69,830.00"
2025,2025. 10. 9,목,35463,"81,885.00"
2025,2025. 10. 10,금,34311,"77,223.00"
2025,2025. 10. 11,토,31009,"68,963.00"
2025,2025. 10. 12,일,35738,"80,759.00"
2025,2025. 10. 13,월,40563,"94,881.00"
2025,2025. 10. 14,화,37169,"87,414.00"
2025,2025. 10. 15,수,36418,"85,456.00"
2025,2025. 10. 16,목,36567,"87,570.00"
2025,2025. 10. 17,금,35480,"81,552.00"
2025,2025. 10. 18,토,29285,"66,734.00"
2025,2025. 10. 19,일,35380,"81,101.00"
2025,2025. 10. 20,월,33974,"79,112.00"
2025,2025. 10. 21,화,34846,"80,968.00"
2025,2025. 10. 22,수,32765,"75,721.00"
2025,2025. 10. 23,목,34480,"80,670.00"
2025,2025. 10. 24,금,33652,"77,532.00"
2025,2025. 10. 25,토,31636,"70,888.00"
2025,2025. 10. 26,일,38294,"87,108.00"
2025,2025. 10. 27,월,42462,"102,988.00"
2025,2025. 10. 28,화,39680,"98,225.00"
2025,2025. 10. 29,수,40650,"107,236.00"
2025,2025. 10. 30,목,36710,"96,778.00"
2025,2025. 10. 31,금,29103,"76,875.00"
2025,2025. 11. 1,토,37023,"92,753.00"
2025,2025. 11. 2,일,40695,"101,172.00"
2025,2025. 11. 3,월,45194,"109,515.00"
